Gene ID,Gene Name,proliferating embryo Ce,elongating embryo Ce,fully-elongated embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,newly molted young adult hermaphrodite Ce,adult Ce,L2d-dauer molt Ce,dauer larva Ce,post dauer stage Ce
WBGene00000001,aap-1,31,29,19,35,16,13,6,30,34,24,32,27
WBGene00000002,aat-1,5,82,30,18,16,13,5,3,3,9,4,5
WBGene00000003,aat-2,7,51,39,25,12,19,4,4,2,7,3,8
WBGene00000004,aat-3,31,245,123,85,24,12,3,4,8,25,16,16
WBGene00000005,aat-4,0.6,5,3,0.3,8,9,7,10,2,0.1,0.1,1
WBGene00000006,aat-5,1,2,20,26,14,12,3,3,2,18,14,17
WBGene00000007,aat-6,0.3,0.1,4,1,6,15,4,6,2,1,0.6,3
WBGene00000008,aat-7,,,,0.1,0.9,2,0.7,1,0.2,2,4,3
WBGene00000009,aat-8,0.5,0.5,4,2,0.5,0.5,1,0.3,0.3,2,1,1
WBGene00000010,aat-9,31,11,18,16,9,10,4,15,26,11,12,10
WBGene00000012,abf-1,0.1,0.2,0.8,0.9,0.2,0.8,1,3,3,0.8,0.4,0.8
WBGene00000013,abf-2,,,0.6,12,5,1,2,2,6,28,57,28
WBGene00000014,abf-3,,,,0.4,,,0.1,,,0.2,0.1,
WBGene00000015,abf-4,,,,0.1,0.1,,0.4,0.6,0.2,0.2,2,0.4
WBGene00000016,abf-5,,,0.9,35,15,17,2,5,5,25,22,32
WBGene00000017,abf-6,,0.2,3,135,16,20,2,4,5,21,26,23
WBGene00000018,abl-1,23,62,43,12,16,11,3,4,8,15,11,11
WBGene00000019,abt-1,0.2,,0.2,0.1,0.2,1,1,2,0.4,,,
WBGene00000020,abt-2,3,2,6,34,8,7,2,2,3,7,6,5
WBGene00000022,abt-4,0.5,1,3,10,7,15,3,5,7,5,2,5
WBGene00000023,abt-5,0.9,0.4,0.5,0.3,0.4,2,3,1,0.5,,,0.1
WBGene00000024,abu-1,,,1,0.1,6,4,8,2,0.6,0.1,,0.3
WBGene00000025,abu-2,,,0.3,0.3,0.2,,0.4,,0.1,2,1,0.2
WBGene00000026,abu-3,,,,0.2,,,0.1,0.1,0.1,,,
WBGene00000027,abu-4,,,0.4,,0.3,0.2,0.7,0.2,,,,
WBGene00000028,abu-5,,,,,,,,,,,,
WBGene00000029,abu-6,,,,,1,5,3,1,0.4,,0.1,
WBGene00000030,abu-7,,,0.2,,2,3,3,0.9,0.3,0.7,1,0.8
WBGene00000031,abu-8,0.9,0.1,57,5,20,15,11,3,2,26,0.8,0.6
WBGene00000033,abu-10,0.3,,14,3,13,12,9,3,2,3,0.2,0.2
WBGene00000034,abu-11,1,,41,2,18,16,25,4,3,18,1,0.4
WBGene00000035,ace-1,2,7,19,9,8,4,2,2,2,8,4,6
WBGene00000036,ace-2,2,14,20,36,13,5,3,3,3,18,10,12
WBGene00000037,ace-3,5,21,55,33,9,2,0.9,0.9,0.9,9,7,5
WBGene00000038,ace-4,1,3,4,15,3,1,0.4,0.3,0.1,2,2,1
WBGene00000039,acn-1,45,303,175,1,214,89,33,3,2,33,5,4
WBGene00000040,aco-1,111,84,54,154,169,207,59,96,80,14,14,14
WBGene00000041,aco-2,92,85,187,204,299,194,105,164,188,242,260,259
WBGene00000042,acr-2,0.1,0.3,5,3,3,1,0.9,0.7,0.2,4,3,3
WBGene00000043,acr-3,0.5,,5,3,2,1,1,0.7,0.2,0.8,1,1
WBGene00000044,acr-5,0.9,0.1,3,7,3,0.7,2,0.6,0.2,8,4,3
WBGene00000045,acr-6,,0.1,1,0.7,0.5,0.3,0.2,0.2,0.1,0.5,0.9,0.4
WBGene00000046,acr-7,1,6,8,2,1,1,0.9,0.7,,0.8,0.8,0.9
WBGene00000047,acr-8,0.8,8,31,6,10,4,2,1,0.2,4,2,3
WBGene00000048,acr-9,1,0.1,7,2,2,0.4,0.5,0.5,0.1,0.9,0.6,0.4
WBGene00000049,acr-10,0.5,,4,2,0.6,0.4,0.3,0.3,0.1,0.2,0.4,0.2
WBGene00000050,acr-11,1,2,7,2,1,1,1,1,0.3,1,1,2
WBGene00000051,acr-12,1,2,10,5,4,2,0.9,0.9,0.5,4,3,4
WBGene00000053,acr-14,0.5,1,4,3,0.9,0.6,0.7,0.4,,2,2,1
WBGene00000054,acr-15,0.1,3,7,5,3,4,2,2,0.6,6,5,5
WBGene00000055,acr-16,3,1,7,6,5,4,2,2,0.8,5,2,4
WBGene00000056,acr-17,2,0.2,1,3,1,0.8,0.6,0.8,0.8,3,2,2
WBGene00000057,acr-18,0.5,,1,4,2,1,1,3,0.6,6,4,2
WBGene00000058,acr-19,0.7,2,5,12,3,1,0.6,0.6,0.2,4,4,3
WBGene00000059,acr-20,2,0.3,4,5,2,1,1,0.7,0.4,4,3,4
WBGene00000060,acr-21,0.7,0.2,2,2,3,1,1,0.5,0.2,9,8,5
WBGene00000061,lgc-11,0.1,1,4,7,0.8,1,0.3,0.4,,2,1,1
WBGene00000062,acr-23,0.4,0.1,2,4,3,0.9,0.7,0.1,,5,4,3
WBGene00000063,act-1,168,151,333,42,309,401,260,170,127,445,94,60
WBGene00000064,act-2,2297,396,309,94,209,374,284,515,1020,160,155,162
WBGene00000065,act-3,207,205,435,82,454,769,203,147,123,467,117,53
WBGene00000066,act-4,397,2046,1941,886,1363,1835,1134,519,927,2340,367,374
WBGene00000067,act-5,56,118,443,110,956,1292,607,735,357,149,43,347
WBGene00000068,acy-1,4,16,37,27,18,9,2,3,2,27,19,12
WBGene00000069,acy-2,1,1,4,12,2,1,0.5,0.8,0.1,3,5,3
WBGene00000070,acy-3,4,19,25,13,17,14,4,3,2,6,7,6
WBGene00000071,acy-4,0.5,4,5,4,3,4,1,3,2,7,5,4
WBGene00000072,add-1,2,4,10,11,10,8,3,4,2,3,3,3
WBGene00000073,add-2,13,15,17,13,10,11,4,8,6,101,96,64
WBGene00000074,adm-2,9,12,20,41,12,9,4,4,11,20,10,7
WBGene00000075,adm-4,8,5,6,3,7,7,2,5,7,4,3,3
WBGene00000079,adr-1,73,61,33,11,33,25,7,21,33,21,30,21
WBGene00000080,adr-2,73,60,30,21,17,23,10,42,40,24,30,24
WBGene00000081,ads-1,8,49,86,59,74,108,64,65,46,59,33,45
WBGene00000082,adt-1,1,3,16,2,8,2,4,1,0.5,3,0.4,0.2
WBGene00000083,adt-2,1,4,4,18,32,34,8,13,14,31,11,8
WBGene00000084,aex-1,0.4,0.8,6,3,3,6,1,3,1,1,1,1
WBGene00000085,aex-2,0.4,0.4,4,5,4,1,1,1,0.3,5,4,3
WBGene00000086,aex-3,3,23,29,28,7,5,2,2,2,12,13,9
WBGene00000088,aex-5,0.1,0.6,5,17,7,13,4,6,5,4,3,3
WBGene00000089,aex-6,4,3,30,26,18,13,6,5,4,22,15,11
WBGene00000090,age-1,15,12,12,27,11,8,3,16,28,11,13,8
WBGene00000092,ags-3,22,34,27,137,16,8,6,7,11,21,25,17
WBGene00000093,agt-1,30,21,9,5,19,16,14,23,27,23,21,27
WBGene00000094,agt-2,27,23,16,8,5,6,3,15,11,5,8,6
WBGene00000095,aha-1,23,63,43,33,18,12,4,6,8,19,17,14
WBGene00000096,ahr-1,2,14,10,10,5,0.8,0.7,0.7,0.3,4,5,2
WBGene00000097,aip-1,27,32,28,39,24,16,13,22,24,25,25,16
WBGene00000098,air-1,144,59,34,3,35,39,30,121,119,15,19,15
WBGene00000099,air-2,103,41,17,9,13,11,9,55,46,7,11,9
WBGene00000100,ajm-1,52,192,196,69,49,30,15,12,17,38,25,21
WBGene00000101,aka-1,22,45,32,23,27,27,9,64,55,28,32,26
WBGene00000102,akt-1,51,42,65,136,44,28,17,54,62,226,166,83
WBGene00000103,akt-2,7,10,24,80,16,10,3,5,6,41,33,20
WBGene00000105,alg-1,49,307,244,228,74,56,8,9,21,48,32,24
WBGene00000106,alg-2,137,101,50,46,24,19,5,8,57,15,8,10
WBGene00000107,alh-1,26,63,61,66,135,200,98,131,96,47,87,99
WBGene00000108,alh-2,,,0.1,,,,,,,23,51,10
WBGene00000109,alh-3,12,112,92,25,68,86,21,37,25,33,27,32
WBGene00000110,alh-4,44,47,49,95,72,84,31,62,75,84,56,40
WBGene00000111,alh-5,1,12,5,29,13,12,6,3,3,12,5,14
WBGene00000112,alh-6,13,19,23,25,33,68,30,46,31,42,34,26
WBGene00000113,alh-7,16,8,10,13,20,16,12,11,19,19,15,21
WBGene00000114,alh-8,87,154,106,1655,481,464,372,273,485,154,1038,625
WBGene00000115,alh-9,40,62,28,16,83,181,42,119,73,102,57,74
WBGene00000116,alh-10,4,37,10,7,14,16,6,11,8,4,4,8
WBGene00000117,alh-11,7,15,10,20,17,25,9,14,15,7,10,9
WBGene00000118,alh-12,17,8,19,66,63,89,48,54,25,27,35,17
WBGene00000120,aly-1,176,172,76,21,34,22,11,11,38,19,19,17
WBGene00000121,aly-2,473,65,62,15,43,57,44,153,243,33,49,33
WBGene00000122,aly-3,158,135,82,88,56,52,34,57,80,33,53,38
WBGene00000123,ama-1,109,54,44,48,40,32,8,28,96,39,31,39
WBGene00000133,amt-1,,,0.6,2,,0.7,0.9,1,0.3,45,12,9
WBGene00000134,amt-2,0.1,,3,3,2,0.6,0.2,,0.1,3,4,2
WBGene00000135,amt-3,0.5,0.1,3,18,3,1,1,0.7,0.3,15,10,7
WBGene00000136,amt-4,0.4,1,12,9,40,55,14,20,10,2,4,16
WBGene00000137,amx-1,25,31,12,5,7,5,2,6,7,5,5,5
WBGene00000138,amx-2,2,8,12,21,17,18,10,8,6,18,10,9
WBGene00000139,amx-3,2,13,4,3,3,9,3,3,0.6,4,4,4
WBGene00000140,anc-1,2,11,14,13,14,6,2,6,3,8,9,9
WBGene00000142,aos-1,76,48,32,6,21,41,22,74,37,22,26,21
WBGene00000143,apc-2,27,16,12,8,8,13,3,25,24,11,15,10
WBGene00000144,apc-10,21,3,4,0.7,3,10,3,29,24,10,20,14
WBGene00000145,apc-11,108,69,31,13,18,13,12,36,45,26,19,20
WBGene00000146,ape-1,73,85,109,48,56,26,16,37,72,40,30,28
WBGene00000147,aph-1,37,52,23,26,10,11,6,19,24,10,11,11
WBGene00000148,aph-2,24,46,18,3,16,14,4,17,13,14,15,12
WBGene00000149,apl-1,149,478,618,924,246,194,75,58,116,315,213,202
WBGene00000150,apm-1,9,94,102,236,55,58,22,18,8,30,36,33
WBGene00000151,apn-1,17,23,9,8,7,13,6,31,20,13,16,11
WBGene00000155,app-1,55,11,18,8,55,78,32,66,93,27,23,33
WBGene00000156,1-Apr,39,82,36,19,19,17,6,28,44,13,14,9
WBGene00000157,aps-2,80,181,98,35,44,47,37,35,40,37,16,15
WBGene00000158,apg-1,30,77,70,44,49,42,15,31,35,28,28,24
WBGene00000159,aps-1,45,131,50,36,49,52,44,54,45,53,29,33
WBGene00000160,apb-1,46,105,112,113,60,44,12,30,35,27,24,22
WBGene00000161,apa-2,56,95,104,46,49,35,9,11,24,25,22,21
WBGene00000162,apd-3,19,24,24,12,15,11,4,12,20,9,8,7
WBGene00000163,apb-3,30,60,54,29,29,21,7,28,37,21,26,21
WBGene00000164,apm-3,42,82,40,28,22,17,5,9,10,15,12,11
WBGene00000165,aps-3,161,107,67,7,33,34,34,65,67,34,24,27
WBGene00000166,apt-9,0.3,0.7,7,17,5,2,1,0.9,0.2,6,4,4
WBGene00000168,apx-1,39,5,9,1,3,3,2,18,58,4,3,2
WBGene00000169,aqp-1,0.1,1,11,24,47,49,19,32,23,9,3,13
WBGene00000170,aqp-2,455,2153,1180,822,207,80,30,16,26,475,305,110
WBGene00000171,aqp-3,,,,,,0.1,0.5,0.8,0.9,13,7,6
WBGene00000172,aqp-4,3,22,87,11,42,56,23,17,8,14,5,25
WBGene00000173,aqp-5,0.3,,4,2,0.9,0.5,0.5,0.3,0.1,0.4,0.5,0.3
WBGene00000174,aqp-6,1,1,3,6,2,0.5,0.8,0.9,0.5,17,13,8
WBGene00000175,aqp-7,6,38,60,162,140,206,62,100,62,23,6,28
WBGene00000176,aqp-8,1,0.8,14,13,39,98,8,63,44,7,1,8
