,proliferating embryo Ce,4-cell embryo Ce,gastrulating embryo Ce,late cleavage stage embryo Ce,enclosing embryo Ce,elongating embryo Ce,3-fold embryo Ce,fully-elongated embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,adult Ce,newly molted young adult hermaphrodite Ce,L2d-dauer molt Ce,dauer larva Ce,post dauer stage Ce
Time in life stage,350,20,190,140,60,270,100,180,690,420,450,570,NA,1440,NA,NA,NA
Time Intervals(after 1st cell div.),0-350,20-40,100-290,210-350,290-350,350-620,520-620,620-800,800-1490,1490-1910,1910-2360,2360-2930,4370+,2930-4370,NA,NA,NA
Order,1,2,3,4,5,6,7,8,9,10,11,12,14,13,11,12,13
Experimental Range Intervals,0-200,NA,80-300,230-470,170-350,350-620,500-710,590-830,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experimental mean intervals,17-167,NA,100-283.3,260-410,182-332,418-568,530-680,635-785,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Start Times,,,,,,,,,,,,,,,,,
Run 1,20,NA,80,290,200,350,530,590,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 2,20,NA,80,320,200,350,530,590,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 3,0,NA,80,230,170,380,530,620,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 4,0,NA,140,230,170,380,560,620,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 5,0,NA,110,230,170,440,560,650,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 6,0,NA,110,260,NA,440,560,650,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 7,50,NA,NA,260,NA,440,500,680,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 8,50,NA,NA,NA,NA,410,500,680,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 9,0,NA,NA,NA,NA,410,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 10,0,NA,NA,NA,NA,470,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 11,50,NA,NA,NA,NA,470,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 12,0,NA,NA,NA,NA,470,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 13,50,NA,NA,NA,NA,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 14,0,NA,NA,NA,NA,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 15,,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 16,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 17,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Min.,0,NA,80,230,170,350,500,590,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mean,17.14285714,NA,100,260,182,418,530,635,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
End Times,,,,,,,,,,,,,,,,,
Run 1,170,NA,270,440,350,500,680,740,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 2,170,NA,270,470,350,500,680,740,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 3,150,NA,270,380,320,530,680,770,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 4,150,NA,290,380,320,530,710,770,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 5,150,NA,300,380,320,590,710,800,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 6,150,NA,300,410,NA,590,710,800,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 7,200,NA,NA,410,NA,590,650,830,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 8,200,NA,NA,NA,NA,560,650,830,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 9,150,NA,NA,NA,NA,560,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 10,150,NA,NA,NA,NA,620,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 11,200,NA,NA,NA,NA,620,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 12,150,NA,NA,NA,NA,620,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 13,200,NA,NA,NA,NA,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 14,150,NA,NA,NA,NA,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 15,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Run 17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Max.,200,NA,300,470,350,620,710,830,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mean,167.1428571,NA,283.3333333,410,332,568,680,785,NA,NA,NA,NA,NA,NA,NA,NA,NA
